Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
356.29,9.147093,0.1,Stainless steel ,2.67,2743377,51662145.6,0.05310228,308.6031975,284.882558,274.176744,382.503819,328.0326161,364.7268021,403.0444765,320.029651,143.4379652,247.740171,490.6451015,312.975234,490.9706615,361.6343469,564.5083933,564.5083933,594.30884
305.63,5.098822,0.1,Stainless steel ,2.67,2743897,51662145.6,0.05311234,278.241165,260.592932,241.790576,358.647358,296.8609294,325.4585734,360.537631,291.691754,143.3521257,239.7399512,462.9504296,299.4803643,490.9706615,377.5508047,616.0671463,616.0671463,627.9216
302.59,2.089949,0.1,Stainless steel ,2.67,2744140,51662145.6,0.05311703,255.6746175,242.539694,217.719592,340.9160695,273.6926073,296.2725053,328.9444645,270.629643,143.2886132,233.8101344,442.3963948,289.4586069,490.9706615,210.4264422,264,264,286.56924
413.47,14.38229,0.1,Stainless steel ,2.67,2742365,51662145.6,0.05308268,347.867175,316.29374,316.05832,413.354835,368.343633,415.508213,458.014045,356.67603,143.549647,258.1222779,526.5237608,330.4444885,490.9706615,252.1011188,595,595,575.7323
372.15,9.948659,0.1,Stainless steel ,2.67,2743248,51662145.6,0.05309976,314.6149425,289.691954,280.589272,387.2274475,334.2046743,372.5019923,411.4609195,325.640613,143.4550151,249.3271655,496.1339643,315.6487031,490.9706615,286.5810023,348.5817774,372.9865,388.32446
322.3,4.193676,0.1,Stainless steel ,2.67,2743983,51662145.6,0.053114,271.45257,255.162056,234.549408,353.3133327,289.8913052,316.6786572,351.033598,285.355732,143.332994,237.9546282,456.7644889,296.4648013,490.9706615,292.6196674,360.0601979,399.6107,388.32446
310.77,2.159465,0.1,Stainless steel ,2.67,2744136,51662145.6,0.05311695,256.1959875,242.95679,218.27572,341.3257272,274.2278805,296.9468105,329.6743825,271.116255,143.2900778,233.9469751,442.870969,289.6900636,490.9706615,304.5259181,362.6109581,388.961,396.99686
438.49,14.38229,0.1,Stainless steel ,2.67,2742365,51662145.6,0.05308268,347.867175,316.29374,316.05832,413.354835,368.343633,415.508213,458.014045,356.67603,143.549647,258.1222779,526.5237608,330.4444885,490.9706615,310.3975713,365.7994082,396.9482,400.26996
354.14,9.948659,0.1,Stainless steel ,2.67,2743248,51662145.6,0.05309976,314.6149425,289.691954,280.589272,387.2274475,334.2046743,372.5019923,411.4609195,325.640613,143.4550151,249.3271655,496.1339643,315.6487031,490.9706615,274.321242,387.4808693,395.1733,412.99683
330.61,4.193676,0.1,Stainless steel ,2.67,2743983,51662145.6,0.053114,271.45257,255.162056,234.549408,353.3133327,289.8913052,316.6786572,351.033598,285.355732,143.332994,237.9546282,456.7644889,296.4648013,490.9706615,286.5810023,390.6693195,393.3984,419.13965
309.98,2.159465,0.1,Stainless steel ,2.67,2744136,51662145.6,0.05311695,256.1959875,242.95679,218.27572,341.3257272,274.2278805,296.9468105,329.6743825,271.116255,143.2900778,233.9469751,442.870969,289.6900636,490.9706615,274.321242,397.0462198,398.7232,424.39377
432.98,14.38229,0.1,Stainless steel ,2.67,2742365,51662145.6,0.05308268,347.867175,316.29374,316.05832,413.354835,368.343633,415.508213,458.014045,356.67603,143.549647,258.1222779,526.5237608,330.4444885,490.9706615,274.321242,421.916131,443.0968,433.13818
350.04,9.948659,0.1,Stainless steel ,2.67,2743248,51662145.6,0.05309976,314.6149425,289.691954,280.589272,387.2274475,334.2046743,372.5019923,411.4609195,325.640613,143.4550151,249.3271655,496.1339643,315.6487031,490.9706615,274.321242,418.7276808,526.5193,432.42206
316.52,4.193676,0.1,Stainless steel ,2.67,2743983,51662145.6,0.053114,271.45257,255.162056,234.549408,353.3133327,289.8913052,316.6786572,351.033598,285.355732,143.332994,237.9546282,456.7644889,296.4648013,490.9706615,274.321242,413.6261606,531.8442,440.17224
311.84,2.159465,0.1,Stainless steel ,2.67,2744136,51662145.6,0.05311695,256.1959875,242.95679,218.27572,341.3257272,274.2278805,296.9468105,329.6743825,271.116255,143.2900778,233.9469751,442.870969,289.6900636,490.9706615,232.1022254,379.0846172,491.9079,526.10803
439,14.95793,0.1,Stainless steel ,2.67,2742230,51662145.6,0.05308005,352.184475,319.74758,320.66344,416.7470815,372.776061,421.091921,464.058265,360.70551,143.5619745,259.2662833,530.4729782,332.3664895,490.9706615,276.5705673,372.9865,541.6064,539.5426
372.02,8.984661,0.1,Stainless steel ,2.67,2743403,51662145.6,0.05310276,307.3849575,283.907966,272.877288,381.5466073,326.7818897,363.1512117,401.3389405,318.892627,143.4345123,247.4186942,489.5330274,312.4335308,490.9706615,276.5705673,399.6107,588.6424,550.3793
340,4.749727,0.1,Stainless steel ,2.67,2743932,51662145.6,0.053113,275.6229525,258.498362,238.997816,356.5901412,294.1728979,322.0723519,356.8721335,289.248089,143.3447444,239.051241,460.56437,298.317251,490.9706615,277.6712909,388.961,616.1541,561.2235
316.2,1.885201,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1390075,241.311206,216.081608,339.7094895,272.1160477,294.2864497,326.7946105,269.196407,143.2843,233.4071368,440.9986976,288.7769118,490.9706615,278.0950714,396.9482,612.6042,579.8562
403.4,14.95793,0.1,Stainless steel ,2.67,2742230,51662145.6,0.05308005,352.184475,319.74758,320.66344,416.7470815,372.776061,421.091921,464.058265,360.70551,143.5619745,259.2662833,530.4729782,332.3664895,490.9706615,279.7906181,395.1733,648.9906,588.9548
354.98,8.984661,0.1,Stainless steel ,2.67,2743403,51662145.6,0.05310276,307.3849575,283.907966,272.877288,381.5466073,326.7818897,363.1512117,401.3389405,318.892627,143.4345123,247.4186942,489.5330274,312.4335308,490.9706615,280.6386455,393.3984,631.2412,592.5509
288.12,4.749727,0.1,Stainless steel ,2.67,2743932,51662145.6,0.053113,275.6229525,258.498362,238.997816,356.5901412,294.1728979,322.0723519,356.8721335,289.248089,143.3447444,239.051241,460.56437,298.317251,490.9706615,281.3808074,398.7232,657.8653,600.13794
289.93,1.885201,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1390075,241.311206,216.081608,339.7094895,272.1160477,294.2864497,326.7946105,269.196407,143.2843,233.4071368,440.9986976,288.7769118,490.9706615,282.6533869,443.0968,380.0862566,364.00995
413.27,14.95793,0.1,Stainless steel ,2.67,2742230,51662145.6,0.05308005,352.184475,319.74758,320.66344,416.7470815,372.776061,421.091921,464.058265,360.70551,143.5619745,259.2662833,530.4729782,332.3664895,490.9706615,282.5473232,526.5193,367.6616328,364.3346
357.87,8.984661,0.1,Stainless steel ,2.67,2743403,51662145.6,0.05310276,307.3849575,283.907966,272.877288,381.5466073,326.7818897,363.1512117,401.3389405,318.892627,143.4345123,247.4186942,489.5330274,312.4335308,490.9706615,283.7141575,531.8442,405.8229773,385.87894
308.37,4.749727,0.1,Stainless steel ,2.67,2743932,51662145.6,0.053113,275.6229525,258.498362,238.997816,356.5901412,294.1728979,322.0723519,356.8721335,289.248089,143.3447444,239.051241,460.56437,298.317251,490.9706615,301.3608909,491.9079,482.1456662,472.81525
299.78,1.885201,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1390075,241.311206,216.081608,339.7094895,272.1160477,294.2864497,326.7946105,269.196407,143.2843,233.4071368,440.9986976,288.7769118,490.9706615,305.6236379,541.6064,491.9078706,502.26315
427.01,14.12377,0.1,Stainless steel ,2.67,2742424,51662145.6,0.05308382,345.928275,314.74262,313.99016,411.8313766,366.353029,413.000569,455.299585,354.86639,143.5441139,257.6086597,524.7504259,329.5813898,490.9706615,309.6769628,588.6424,560.2433013,549.39453
354.03,9.469861,0.1,Stainless steel ,2.67,2743326,51662145.6,0.05310128,311.0239575,286.819166,276.758888,384.4058909,330.5179297,367.8576517,406.4335405,322.289027,143.4448286,248.3790935,492.8551077,314.0517079,490.9706615,314.481585,616.1541,600.1795921,579.3213
313.51,4.475887,0.1,Stainless steel ,2.67,2743958,51662145.6,0.0531135,273.5691525,256.855322,236.807096,354.9764021,292.0643299,319.4161039,353.9968135,287.331209,143.3389566,238.5111292,458.692921,297.4049393,490.9706615,325.176221,612.6042,591.3048608,634.16174
297.52,1.883415,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1256125,241.30049,216.06732,339.6989646,272.1022955,294.2691255,326.7758575,269.183905,143.2842624,233.4036218,440.9865062,288.7709656,490.9706615,331.7117494,648.9906,365.6401663,363.02734
432.59,14.12377,0.1,Stainless steel ,2.67,2742424,51662145.6,0.05308382,345.928275,314.74262,313.99016,411.8313766,366.353029,413.000569,455.299585,354.86639,143.5441139,257.6086597,524.7504259,329.5813898,490.9706615,334.500077,631.2412,367.4890686,368.3275
354.38,9.469861,0.1,Stainless steel ,2.67,2743326,51662145.6,0.05310128,311.0239575,286.819166,276.758888,384.4058909,330.5179297,367.8576517,406.4335405,322.289027,143.4448286,248.3790935,492.8551077,314.0517079,490.9706615,340.6184092,657.8653,364.4075647,370.6541
300.37,4.475887,0.1,Stainless steel ,2.67,2743958,51662145.6,0.0531135,273.5691525,256.855322,236.807096,354.9764021,292.0643299,319.4161039,353.9968135,287.331209,143.3389566,238.5111292,458.692921,297.4049393,490.9706615,229.9444759,380.0862566,332.359924,370.6541
299.71,1.883415,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1256125,241.30049,216.06732,339.6989646,272.1022955,294.2691255,326.7758575,269.183905,143.2842624,233.4036218,440.9865062,288.7709656,490.9706615,229.9685013,367.6616328,381.0476858,395.0572
448.19,14.12377,0.1,Stainless steel ,2.67,2742424,51662145.6,0.05308382,345.928275,314.74262,313.99016,411.8313766,366.353029,413.000569,455.299585,354.86639,143.5441139,257.6086597,524.7504259,329.5813898,490.9706615,231.6262786,405.8229773,384.1291898,388.07532
361.92,9.469861,0.1,Stainless steel ,2.67,2743326,51662145.6,0.05310128,311.0239575,286.819166,276.758888,384.4058909,330.5179297,367.8576517,406.4335405,322.289027,143.4448286,248.3790935,492.8551077,314.0517079,490.9706615,240.4249688,482.1456662,384.1291898,390.78342
323.7,4.475887,0.1,Stainless steel ,2.67,2743958,51662145.6,0.0531135,273.5691525,256.855322,236.807096,354.9764021,292.0643299,319.4161039,353.9968135,287.331209,143.3389566,238.5111292,458.692921,297.4049393,490.9706615,244.9902171,491.9078706,443.9103657,422.0067
305.84,1.883415,0.1,Stainless steel ,2.67,2744152,51662145.6,0.05311727,254.1256125,241.30049,216.06732,339.6989646,272.1022955,294.2691255,326.7758575,269.183905,143.2842624,233.4036218,440.9865062,288.7709656,490.9706615,257.2445999,560.2433013,443.9103657,467.7225
335.17,2.011752,0.1,Zirconium,2.67,2744145,41460642,0.06618674,255.08814,242.070512,217.094016,340.4552545,273.0904904,295.5139944,328.123396,270.082264,143.2869658,264.4983505,629.8484295,332.5180363,490.9706615,270.0524348,600.1795921,473.4928032,497.9332
335.52,2.011752,0.1,Zirconium,2.67,2744145,41460642,0.06618674,255.08814,242.070512,217.094016,340.4552545,273.0904904,295.5139944,328.123396,270.082264,143.2869658,264.4983505,629.8484295,332.5180363,490.9706615,291.5012564,591.3048608,494.4470298,484.3657
327.1,2.011752,0.1,Zirconium,2.67,2744145,41460642,0.06618674,255.08814,242.070512,217.094016,340.4552545,273.0904904,295.5139944,328.123396,270.082264,143.2869658,264.4983505,629.8484295,332.5180363,490.9706615,211.5421411,365.6401663,553.6119049,498.9789
363.35,5.276989,0.1,Zirconium,2.67,2743879,41460642,0.06618034,279.5774175,261.661934,243.215912,359.6972962,298.2328153,327.1867933,362.4083845,292.938923,143.3558942,273.8535391,666.1546933,346.6022583,490.9706615,211.8149449,367.4890686,564.0890182,535.8568
359.43,5.276989,0.1,Zirconium,2.67,2743879,41460642,0.06618034,279.5774175,261.661934,243.215912,359.6972962,298.2328153,327.1867933,362.4083845,292.938923,143.3558942,273.8535391,666.1546933,346.6022583,490.9706615,211.936205,364.4075647,567.1705221,552.4796
350.82,5.276989,0.1,Zirconium,2.67,2743879,41460642,0.06618034,279.5774175,261.661934,243.215912,359.6972962,298.2328153,327.1867933,362.4083845,292.938923,143.3558942,273.8535391,666.1546933,346.6022583,490.9706615,211.936205,332.359924,592.4388542,578.1692
413.33,9.577287,0.1,Zirconium,2.67,2743309,41460642,0.06616658,311.8296525,287.463722,277.618296,385.0389523,331.3451099,368.8996839,407.5615135,323.041009,143.4471135,286.2104318,714.0442441,365.167393,490.9706615,213.2706283,381.0476858,610.9278777,580.52673
406.7,9.577287,0.1,Zirconium,2.67,2743309,41460642,0.06616658,311.8296525,287.463722,277.618296,385.0389523,331.3451099,368.8996839,407.5615135,323.041009,143.4471135,286.2104318,714.0442441,365.167393,490.9706615,212.8762597,384.1291898,609.0789753,624.33655
