Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
596.5192044,0,0.548192615,Zirconium,6.35,2686175.923,23000000,0.116790258,240,230,201,328.6,257.6,276,307,256,364.1477979,850.0188475,1199.288672,944.6229015,506.6461841,292.6196674,360.0601979,399.6107,388.32446
592.5336417,0,0.543440685,Zirconium,6.35,2686816.599,23000000,0.116818113,240,230,201,328.6,257.6,276,307,256,362.1729632,845.1841842,1196.917844,940.4553188,506.3966507,304.5259181,362.6109581,388.961,396.99686
379.0846172,0,0.101511125,316 SS,6.68,2744256.754,5.10E+07,0.053808956,240,230,201,328.6,257.6,276,307,256,144.2844235,232.1022254,433.4846614,286.2461832,491.0035352,310.3975713,365.7994082,396.9482,400.26996
483.594928,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923,240,230,201,328.6,257.6,276,307,256,229.9524496,414.2453686,639.4777785,513.3079615,494.7995167,274.321242,387.4808693,395.1733,412.99683
470.309719,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923,240,230,201,328.6,257.6,276,307,256,229.9524496,414.2453686,639.4777785,513.3079615,494.7995167,286.5810023,390.6693195,393.3984,419.13965
464.5527951,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923,240,230,201,328.6,257.6,276,307,256,229.9524496,414.2453686,639.4777785,513.3079615,494.7995167,274.321242,397.0462198,398.7232,424.39377
489.7946922,0,0.253572909,316 SS,6.68,2728457.2,5.10E+07,0.053499161,240,230,201,328.6,257.6,276,307,256,231.1533983,416.8073654,641.3423482,515.9831903,494.8693038,274.321242,421.916131,443.0968,433.13818
534.9644027,0,0.500673308,316 SS,6.68,2692656.252,5.10E+07,0.052797181,240,230,201,328.6,257.6,276,307,256,344.2127418,654.3044413,785.5927401,741.0198704,504.2534222,274.321242,418.7276808,526.5193,432.42206
528.3217982,0,0.503049273,316 SS,6.68,2692328.349,5.10E+07,0.052790752,240,230,201,328.6,257.6,276,307,256,345.2197162,656.3758267,786.7292806,742.858235,504.367789,274.321242,413.6261606,531.8442,440.17224
520.3506728,0,0.500673308,316 SS,6.68,2692656.252,5.10E+07,0.052797181,240,230,201,328.6,257.6,276,307,256,344.2127418,654.3044413,785.5927401,741.0198704,504.2534222,232.1022254,379.0846172,491.9079,526.10803
595.1906835,0,1.004377967,316 SS,6.68,2631393.203,5.10E+07,0.051595945,240,230,201,328.6,257.6,276,307,256,540.0120238,1048.02496,992.9098122,1070.762475,545.7521883,276.5705673,372.9865,541.6064,539.5426
612.0186149,0,1.006753933,316 SS,6.68,2631137.624,5.10E+07,0.051590934,240,230,201,328.6,257.6,276,307,256,540.8738502,1049.612389,993.7903779,1072.125058,546.0622424,276.5705673,399.6107,588.6424,550.3793
606.261691,0,1.002002002,316 SS,6.68,2631649.041,5.10E+07,0.051600962,240,230,201,328.6,257.6,276,307,256,539.1497547,1046.231855,992.0286478,1069.398613,545.4435894,277.6712909,388.961,616.1541,561.2235
632.832109,0,1.505706662,316 SS,6.68,2582355.103,5.10E+07,0.050634414,240,230,201,328.6,257.6,276,307,256,713.6071634,1385.53645,1168.193377,1335.518103,600.02899,278.0950714,396.9482,612.6042,579.8562
624.4181433,0,1.505706662,316 SS,6.68,2582355.103,5.10E+07,0.050634414,240,230,201,328.6,257.6,276,307,256,713.6071634,1385.170343,1168.193377,1335.518103,600.02899,279.7906181,395.1733,648.9906,588.9548
633.7177896,0,2.002283425,316 SS,6.68,2541022.323,5.10E+07,0.049823967,240,230,201,328.6,257.6,276,307,256,873.1532021,1690.234463,1327.156221,1566.053757,677.2180678,280.6386455,393.3984,631.2412,592.5509
627.0751851,0,2.007035356,316 SS,6.68,2540653.123,5.10E+07,0.049816728,240,230,201,328.6,257.6,276,307,256,874.6329243,1693.051029,1328.624717,1568.14812,678.1574647,281.3808074,398.7232,657.8653,600.13794
666.9421488,0,3.003378378,1018 carbon steel,6.68,2471289.8,1.62E+08,0.015254875,240,230,201,328.6,257.6,276,307,256,1169.334138,2117.835334,1506.651582,1852.925753,1016.681609,282.6533869,443.0968,380.0862566,364.00995
