T_env [K],T_suc [K],P_suc [kPa],T_dis [K],P_dis [kPa],T_inj [K],P_inj [kPa],x_inj [-],h_inj [kJ/kg],m_suc [kg/s],m_inj [kg/s],m_tot [kg/s],Q_loss [kW],W_comp [kW],f_loss [%]
308,277.2,362.5,367.7,1931,312.4,603.6,100,443.2,0.05238,0.0073,0.05968,0.17417928,3.881,4.488
308.5,275.1,327,372.2,1937,312.4,601.1,100,443.2,0.0467,0.00976,0.05646,0.19260426,3.946,4.881
308.4,291.9,590.2,371.9,2530,322.4,892.9,100,448,0.08497,0.00659,0.09156,0.25133955,5.093,4.935
308.3,288.6,538.2,374.1,2530,322.5,857.1,100,448.7,0.0772,0.00858,0.08578,0.2518906,5.099,4.94
308.2,288.9,542.3,349.7,1683,305.3,825.4,100,432.1,0.08051,0.00674,0.08725,0.15457034,3.782,4.087
307.9,286.2,490.2,351.6,1678,305.3,765.8,100,433.3,0.07244,0.00733,0.07977,0.14706944,3.712,3.962
308.2,283.6,446.6,353.8,1682,305.6,715.9,100,434.6,0.06571,0.00774,0.07345,0.14522476,3.671,3.956
307.4,289.5,543.5,357.7,1939,311,826.1,100,437.8,0.07964,0.0066,0.08624,0.1813113,4.149,4.37
308.2,288.9,537.5,342.5,1473,291.2,837.3,0.9484,407.8,0.08003,0.00887,0.0889,0.09720045,3.541,2.745
308.7,275.2,327.5,348.3,1434,279.8,581.6,0.9666,405.9,0.04822,0.01023,0.05845,0.09230724,3.204,2.881
308.2,283.6,443.9,350.6,1698,288.6,771,0.9642,409.6,0.06536,0.01289,0.07825,0.1115296,3.83,2.912
308.2,289,533.5,348.9,1717,293,881.6,0.9631,411.3,0.07877,0.01258,0.09135,0.1170793,3.985,2.938
308.2,289.1,538.2,353.9,1948,294.9,932.7,0.9639,412.3,0.07903,0.01585,0.09488,0.18451994,4.426,4.169
308.2,281.1,404.4,359,1945,288.4,766.7,0.9611,408.9,0.0587,0.01576,0.07446,0.16411924,4.243,3.868
308.3,277.9,365.2,360.7,1944,286.3,717.3,0.9666,409,0.05287,0.01577,0.06864,0.169596,4.2,4.038
308.2,291.8,591,365.2,2544,301.6,1133,0.9557,413.4,0.08513,0.02487,0.11,0.3732792,5.712,6.535
308.3,283.4,444.2,362.6,2174,292.3,860.4,0.9816,414.5,0.06395,0.01882,0.08277,0.2439204,4.74,5.146
308.3,286.3,489.7,360.8,2190,294.5,921.6,0.9647,412.2,0.07076,0.0193,0.09006,0.23893526,4.826,4.951
308.2,291.8,591.8,359.1,2221,299.1,1048,0.998,420,0.08609,0.01941,0.1055,0.33628966,5.026,6.691
