ID,P0,P1,P2,P3,P4,P5,P6,v1,v2,v3
2317,22,0.1,0.05,5,0.9,28,13,10721.5,722,3608.48
2318,22,0.1,0.05,5,0.9,28,18,10723.6,721.5,3609.19
2319,24,0.15,0.08,8,0.7,28,28,8930.37,232.5,3090.37
2320,25,0.2,0.11,8,0.8,26,28,8442.47,14.5,2862.81
2321,25,0.2,0.11,8,0.8,26,18,7898.72,80,2702.01
2322,25,0.2,0.11,8,0.8,26,23,8092.5,82,2757.36
2323,22,0.15,0.05,2,0.8,28,28,11551.75,661.5,3641.57
2324,25,0.2,0.11,8,0.8,26,13,7897.24,80,2701.57
2325,24,0.2,0.08,5,0.6,28,13,8929.04,428,2849.99
2326,22,0.15,0.05,2,0.8,28,23,11178.51,728.5,3519.78
2327,24,0.2,0.08,5,0.6,28,18,8929.89,428,2850.25
2328,22,0.15,0.05,2,0.8,28,18,11006.97,745,3467.5
2329,24,0.2,0.08,5,0.6,28,23,8920.28,393,2848.31
2330,22,0.15,0.05,2,0.8,28,13,11005.29,745,3466.94
2331,24,0.2,0.08,5,0.6,28,28,9093.45,305.5,2900.23
2332,26,0.15,0.14,2,0.9,26,13,6129.17,83.5,1822.85
2333,24,0.2,0.11,5,0.9,28,23,8582.54,394,2744.68
2334,26,0.15,0.14,2,0.9,26,28,6970.55,4,2063.4
2335,24,0.2,0.11,5,0.9,28,28,9082.47,204,2900.7
2336,24,0.2,0.11,5,0.9,28,13,8205.91,391.5,2635.63
2337,26,0.15,0.14,2,0.9,26,18,6130.92,83.5,1823.35
2338,26,0.15,0.14,2,0.9,26,23,6513.26,81,1941.68
2339,24,0.2,0.11,5,0.9,28,18,8208.04,390,2636.28
2340,22,0.2,0.08,5,0.8,27,28,10803.68,646,3560.11
2341,24,0.2,0.05,2,0.6,27,28,10115.51,301.5,3012.93
2342,24,0.05,0.05,8,0.8,27,13,9127.75,317.5,3205.09
2343,22,0.2,0.08,5,0.8,27,18,10239.19,741.5,3374.89
2344,22,0.2,0.08,5,0.8,27,23,10419.86,721.5,3431.14
2345,24,0.05,0.05,8,0.8,27,18,9129.03,315.5,3205.49
2346,24,0.2,0.05,2,0.6,27,13,9980.27,435,2972.64
2347,24,0.05,0.05,8,0.8,27,23,9267.95,295,3247.49
2348,22,0.2,0.08,5,0.8,27,13,10237.35,741.5,3374.27
2349,24,0.05,0.05,8,0.8,27,28,9616.3,177.5,3353.76
2350,24,0.2,0.05,2,0.6,27,23,9954.05,395.5,2965.23
2351,24,0.2,0.05,2,0.6,27,18,9980.98,435,2972.85
2352,24,0.1,0.05,5,0.7,27,13,9285.98,367,3034.16
2353,24,0.1,0.05,5,0.7,27,18,9286.94,367,3034.45
2354,23,0.05,0.05,11,0.9,26,18,9916.24,508,3700.16
2355,23,0.05,0.05,11,0.9,26,13,9914.25,507.5,3699.51
2356,24,0.1,0.05,5,0.7,27,23,9329.91,344,3047.8
2357,26,0.2,0.14,11,0.8,28,28,7694.89,0,2810.4
2358,26,0.2,0.14,11,0.8,28,23,7343.54,13,2706.12
2359,26,0.2,0.14,11,0.8,28,18,7140.92,21.5,2649.5
2360,26,0.2,0.14,11,0.8,28,13,7139.48,20.5,2649.08
2361,23,0.05,0.05,11,0.9,26,28,10756.58,400.5,3963.27
2362,24,0.1,0.05,5,0.7,27,28,9572.55,232,3120.19
2363,23,0.05,0.05,11,0.9,26,23,10237.43,497.5,3794.8
2364,24,0.15,0.05,2,0.6,27,13,9465.41,435,2864.53
2365,23,0.1,0.05,8,0.8,26,13,10167.35,547.5,3550.71
2366,24,0.15,0.05,2,0.6,27,18,9466.12,435,2864.74
2367,24,0.15,0.05,2,0.6,27,23,9440.45,395.5,2857.38
2368,23,0.1,0.05,8,0.8,26,23,10338.86,524.5,3601.87
2369,24,0.15,0.05,2,0.6,27,28,9603.21,301.5,2905.36
2370,23,0.1,0.05,8,0.8,26,18,10168.79,548,3551.18
2371,26,0.15,0.14,14,0.9,28,23,7110.51,6,2874.71
2372,22,0.2,0.08,11,0.9,27,23,10844.36,678.5,3952.42
2373,26,0.15,0.14,14,0.9,28,18,6745.04,7.5,2766.06
2374,22,0.2,0.08,11,0.9,27,28,11409.45,586,4148.27
2375,26,0.15,0.14,14,0.9,28,13,6743,7,2765.45
2376,23,0.1,0.05,8,0.8,26,28,10703.68,447,3717.6
2377,22,0.2,0.08,11,0.9,27,13,10490.59,690.5,3846.3
2378,26,0.15,0.14,14,0.9,28,28,7624.29,0,3021.29
2379,22,0.2,0.08,11,0.9,27,18,10493.15,690,3847.2
2380,23,0.15,0.05,5,0.7,26,23,10414.65,566,3401.51
2381,23,0.15,0.05,5,0.7,26,28,10667.78,495.5,3479.85
2382,24,0.05,0.05,14,0.9,27,28,10185.16,116.5,3911.35
2383,23,0.15,0.05,5,0.7,26,13,10372.14,586.5,3387.09
2384,23,0.15,0.05,5,0.7,26,18,10373.23,586.5,3387.43
2385,24,0.05,0.05,14,0.9,27,18,9361.69,246,3661.32
2386,24,0.05,0.05,14,0.9,27,23,9678.7,244,3752.82
2387,24,0.05,0.05,14,0.9,27,13,9359.8,247,3660.72
2388,26,0.2,0.14,5,0.7,28,28,7181.86,15.5,2278.18
2389,25,0.2,0.08,11,0.6,27,18,8641.57,79,3108.89
2390,25,0.2,0.08,11,0.6,27,13,8640.8,78,3108.66
2391,25,0.2,0.08,11,0.6,27,28,8810.93,41,3160.54
2392,25,0.2,0.08,11,0.6,27,23,8634.85,65.5,3108.28
2393,26,0.15,0.14,8,0.8,28,23,6690.49,32,2372.52
2394,26,0.15,0.14,8,0.8,28,28,7060.58,0,2471.8
2395,26,0.1,0.14,11,0.9,28,18,6116.77,16,2428.14
2396,26,0.1,0.14,11,0.9,28,23,6532.74,12.5,2549.47
2397,26,0.1,0.14,11,0.9,28,28,6980.8,0,2681.48
2398,22,0.15,0.08,8,0.9,27,23,10144.33,698,3590.8
2399,22,0.15,0.08,8,0.9,27,28,10716.14,603,3784.91
2400,22,0.15,0.08,8,0.9,27,13,9749.98,710,3475.38
2401,22,0.15,0.08,8,0.9,27,18,9752.46,710,3476.24
2402,25,0.1,0.08,8,0.9,25,23,7786.51,79.5,2752.62
2403,25,0.1,0.08,8,0.9,25,28,8253.23,14,2888.73
2404,25,0.1,0.08,8,0.9,25,13,7433.95,78.5,2646.85
2405,25,0.1,0.08,8,0.9,25,18,7435.77,78.5,2647.39
2406,25,0.15,0.08,5,0.8,25,28,8380.27,45,2692.02
2407,25,0.15,0.08,5,0.8,25,18,7866.1,115.5,2541.38
2408,25,0.15,0.08,5,0.8,25,23,8046.83,103,2593.11
2409,25,0.15,0.08,5,0.8,25,13,7864.75,116,2540.98
2410,25,0.2,0.08,2,0.7,25,28,8529.1,78.5,2503.59
2411,25,0.2,0.08,2,0.7,25,23,8301.13,149,2437.03
2412,25,0.2,0.08,2,0.7,25,18,8238.23,169.5,2419.11
2413,25,0.2,0.08,2,0.7,25,13,8237.26,169.5,2418.83
2414,26,0.2,0.11,5,0.7,27,18,7232.28,76.5,2292.64
2415,26,0.2,0.11,5,0.7,27,23,7309.03,67.5,2314.04
2416,26,0.2,0.11,5,0.7,27,28,7539.26,25.5,2380.21
2417,24,0.1,0.05,11,0.8,27,28,10113.79,154.5,3666.24
2418,24,0.1,0.05,11,0.8,27,23,9757.97,270.5,3556.98
2419,24,0.1,0.05,11,0.8,27,18,9587.09,287.5,3507.37
2420,24,0.1,0.05,11,0.8,27,13,9585.72,287.5,3506.94
2421,26,0.2,0.11,5,0.7,27,13,7231.33,76.5,2292.37
2422,24,0.05,0.05,11,0.9,27,13,9189.4,274.5,3416.9
2423,24,0.05,0.05,11,0.9,27,18,9191.23,273,3417.47
2424,24,0.05,0.05,11,0.9,27,23,9509.03,266,3509.44
2425,23,0.15,0.05,14,0.6,26,23,10809.89,491.5,4102.86
2426,23,0.15,0.05,14,0.6,26,28,10998.98,451.5,4162.01
2427,24,0.05,0.05,11,0.9,27,28,10007.35,131.5,3664.16
2428,24,0.15,0.05,8,0.7,27,28,10099.2,207,3437.03
2429,24,0.15,0.05,8,0.7,27,23,9860.97,306.5,3364.53
2430,24,0.15,0.05,8,0.7,27,18,9811.99,331.5,3349.43
2431,24,0.15,0.05,8,0.7,27,13,9811.05,332,3349.14
2432,23,0.15,0.05,14,0.6,26,13,10839.28,511.5,4106.7
2433,23,0.15,0.05,14,0.6,26,18,10840.12,512,4106.98
2434,24,0.1,0.05,8,0.8,27,18,9421.78,315.5,3266.37
2435,24,0.1,0.05,8,0.8,27,23,9592.56,295,3315.78
2436,24,0.1,0.05,8,0.8,27,28,9942.7,177.5,3422.39
2437,24,0.2,0.05,5,0.6,27,28,10268.23,266.5,3249.66
2438,24,0.2,0.05,5,0.6,27,23,10103.6,356,3200.61
2439,24,0.2,0.05,5,0.6,27,18,10128.39,389.5,3207.21
2440,24,0.2,0.05,5,0.6,27,13,10127.68,390,3206.99
2441,24,0.1,0.05,8,0.8,27,13,9420.47,317.5,3265.97
2442,24,0.15,0.05,5,0.7,27,28,9938.14,231.5,3197
2443,24,0.15,0.05,5,0.7,27,23,9704.56,344,3126.51
2444,24,0.15,0.05,5,0.7,27,18,9657.22,367,3112.24
2445,24,0.15,0.05,5,0.7,27,13,9656.24,367,3111.95
2446,24,0.2,0.14,8,0.9,28,18,7960.69,346,2755.5
2447,24,0.2,0.14,8,0.9,28,13,7958.4,347,2754.79
2448,26,0.15,0.11,2,0.7,27,13,6620.89,107.5,1963.96
2449,26,0.2,0.14,2,0.9,25,28,7446.67,4,2163.35
2450,26,0.15,0.11,2,0.7,27,23,6695.42,90.5,1984.62
2451,26,0.2,0.14,2,0.9,25,23,6997.94,81,2032.99
2452,26,0.15,0.11,2,0.7,27,18,6621.8,107.5,1964.21
2453,26,0.2,0.14,2,0.9,25,18,6607.54,83.5,1923.4
2454,26,0.2,0.14,2,0.9,25,13,6605.8,83.5,1922.9
2455,26,0.15,0.11,2,0.7,27,28,6921.78,47,2048.91
2456,22,0.05,0.14,2,0.6,25,18,7419.14,776.5,2441.07
2457,26,0.2,0.11,14,0.6,27,28,7825.87,4,3038.99
2458,22,0.05,0.14,2,0.6,25,23,7449.5,766.5,2454.07
2459,22,0.05,0.14,2,0.6,25,13,7417.91,776.5,2440.65
2460,22,0.05,0.14,2,0.6,25,28,7620.4,728.5,2508.46
2461,25,0.05,0.05,14,0.8,25,13,8769.43,66.5,3434.96
2462,25,0.05,0.05,14,0.8,25,28,9256.11,23.5,3580.46
2463,25,0.05,0.05,14,0.8,25,23,8908.72,56.5,3476.47
2464,25,0.05,0.05,14,0.8,25,18,8770.68,66,3435.34
2465,23,0.1,0.05,11,0.8,25,28,10881.73,422.5,3966.25
2466,23,0.1,0.05,11,0.8,25,13,10338.85,522,3796
2467,23,0.1,0.05,11,0.8,25,18,10340.34,522,3796.49
2468,23,0.1,0.05,11,0.8,25,23,10511.36,499,3847.67
2469,23,0.15,0.05,14,0.6,28,23,10809.89,491.5,4102.86
2470,23,0.15,0.05,14,0.6,28,28,10998.98,451.5,4162.01
2471,23,0.15,0.05,14,0.6,28,13,10839.28,511.5,4106.7
2472,23,0.15,0.05,14,0.6,28,18,10840.12,512,4106.98
2473,23,0.15,0.05,8,0.7,25,13,10538.25,559.5,3629.44
2474,23,0.15,0.05,8,0.7,25,18,10539.33,559.5,3629.79
2475,23,0.15,0.05,8,0.7,25,23,10581.96,531.5,3644.73
2476,23,0.15,0.05,8,0.7,25,28,10839.3,471.5,3725.12
2477,26,0.1,0.11,11,0.9,26,13,6479.39,28,2531.82
2478,26,0.1,0.11,11,0.9,26,18,6481.32,28,2532.38
2479,24,0.1,0.05,2,0.9,26,28,9816.83,191.5,3003.22
2480,26,0.1,0.11,11,0.9,26,23,6873.57,19.5,2646.79
2481,22,0.2,0.11,11,0.9,27,13,9773.66,687,3621.23
2482,25,0.2,0.11,14,0.6,25,23,8199.92,45,3175.82
2483,25,0.2,0.11,14,0.6,25,28,8384.26,14,3231.73
2484,26,0.1,0.11,11,0.9,26,28,7315.8,0,2774.11
2485,25,0.2,0.11,14,0.6,25,13,8190.42,56.5,3170.99
2486,22,0.2,0.11,11,0.9,27,23,10139.44,682,3730.41
2487,25,0.2,0.11,14,0.6,25,18,8191.35,56,3171.27
2488,22,0.2,0.11,11,0.9,27,18,9776.38,686.5,3622.19
2489,22,0.2,0.11,11,0.9,27,28,10718.6,588,3932.55
2490,23,0.2,0.05,5,0.6,25,18,10817.18,595.5,3475.89
2491,23,0.2,0.05,5,0.6,25,23,10792.02,573.5,3470.02
2492,23,0.2,0.05,5,0.6,25,28,10962.72,522,3522.68
2493,26,0.05,0.11,8,0.9,27,13,5918.57,47,2210.54
2494,24,0.1,0.05,2,0.9,26,18,9030.28,378,2767.82
2495,26,0.05,0.11,8,0.9,27,23,6374.03,37,2339.6
2496,24,0.1,0.05,2,0.9,26,23,9337.49,366,2858.24
2497,26,0.05,0.11,8,0.9,27,18,5920.42,47,2211.07
2498,23,0.2,0.05,5,0.6,25,13,10816.37,595.5,3475.63
2499,24,0.1,0.05,2,0.9,26,13,9028.45,379.5,2767.28
2500,26,0.05,0.11,8,0.9,27,28,6803.87,0,2464.08
2501,26,0.15,0.11,8,0.8,26,18,6885.11,49,2420
2502,26,0.15,0.11,8,0.8,26,23,7077.6,40.5,2474.1
2503,26,0.15,0.11,8,0.8,26,28,7414.2,3.5,2572.34
2504,26,0.15,0.11,8,0.8,26,13,6883.8,49,2419.62
2505,26,0.1,0.11,5,0.8,27,18,6274.21,70,2090.05
2506,26,0.1,0.11,5,0.8,27,13,6272.91,70,2089.68
2507,24,0.2,0.14,8,0.9,28,28,8863.08,185.5,3029.98
2508,26,0.1,0.11,5,0.8,27,28,6799.19,11,2239.86
2509,24,0.2,0.14,8,0.9,28,23,8285.93,358.5,2861.6
2510,26,0.1,0.11,5,0.8,27,23,6469.66,63,2150.94
2511,26,0.15,0.14,11,0.9,28,18,6579.41,16,2525.26
2512,24,0.2,0.08,2,0.6,28,28,8939.27,345,2662.72
2513,26,0.15,0.14,11,0.9,28,13,6577.43,15.5,2524.68
2514,24,0.2,0.08,2,0.6,28,18,8781.52,481.5,2615.47
2515,26,0.15,0.14,11,0.9,28,28,7449.96,0,2777.06
2516,26,0.15,0.14,11,0.9,28,23,6950.9,12.5,2637.25
2517,24,0.2,0.08,2,0.6,28,23,8769.96,446.5,2612.49
2518,24,0.2,0.08,2,0.6,28,13,8780.68,482.5,2615.22
2519,26,0.2,0.14,8,0.8,28,13,6986.53,42.5,2413.47
2520,25,0.2,0.08,11,0.6,25,28,8809.52,41,3160.24
2521,25,0.2,0.08,11,0.6,25,23,8634.2,65.5,3108.15
2522,25,0.2,0.08,11,0.6,25,18,8640.92,79,3108.76
2523,25,0.2,0.08,11,0.6,25,13,8640.15,78,3108.53
2524,24,0.05,0.08,11,0.9,28,23,8290.34,305,3156.56
2525,24,0.05,0.08,11,0.9,28,28,8752.87,150.5,3302.85
2526,24,0.05,0.08,11,0.9,28,13,7875.77,303,3037.39
2527,24,0.05,0.08,11,0.9,28,18,7877.85,302,3038.05
2528,26,0.2,0.11,14,0.6,27,13,7639.92,26,2982.88
2529,26,0.2,0.11,14,0.6,27,23,7648.03,15,2986.56
2530,26,0.2,0.11,14,0.6,27,18,7640.67,27,2983.1
2531,24,0.1,0.08,8,0.8,28,28,8676.2,206.5,3056.18
2532,22,0.2,0.08,14,0.7,28,28,11145.99,613,4256.89
2533,25,0.1,0.08,14,0.7,27,23,7946.62,42,3179.22
2534,25,0.1,0.08,14,0.7,27,28,8202.73,14,3256.42
2535,22,0.2,0.08,14,0.7,28,23,10861.45,671,4159.59
2536,22,0.2,0.08,14,0.7,28,18,10788.27,688.5,4132.62
2537,26,0.05,0.05,8,0.6,28,28,7904.66,52,2766.53
2538,24,0.1,0.08,8,0.8,28,13,8113.82,352,2887.24
2539,25,0.1,0.08,14,0.7,27,13,7876.21,51.5,3157.8
2540,22,0.2,0.08,14,0.7,28,13,10786.78,688.5,4132.09
2541,25,0.1,0.08,14,0.7,27,18,7877.27,52.5,3158.12
2542,24,0.1,0.08,8,0.8,28,23,8305.75,337,2942.78
2543,26,0.05,0.05,8,0.6,28,18,7770.32,83,2728.27
2544,22,0.15,0.05,5,0.9,27,28,11962.47,615,3966
2545,22,0.15,0.05,5,0.9,27,23,11426.53,698,3786.98
2546,24,0.1,0.08,8,0.8,28,18,8115.34,350,2887.72
2547,26,0.05,0.05,8,0.6,28,23,7739.36,72,2720.18
2548,22,0.15,0.05,5,0.9,27,18,11128.13,721.5,3694.23
2549,26,0.05,0.05,8,0.6,28,13,7769.79,83.5,2728.13
2550,22,0.15,0.05,5,0.9,27,13,11125.99,721.5,3693.5
2551,26,0.05,0.08,8,0.9,28,18,6547.93,56.5,2386.34
2552,26,0.05,0.08,8,0.9,28,23,6949.57,48,2500.81
2553,26,0.05,0.08,8,0.9,28,28,7371,4,2621.21
2554,25,0.15,0.08,11,0.6,27,28,8321.31,41,3057.79
2555,24,0.15,0.08,5,0.7,28,18,8454.85,407,2754.68
2556,25,0.15,0.08,11,0.6,27,23,8143.61,65.5,3005.18
2557,26,0.2,0.14,8,0.8,28,23,7191.12,32,2470.61
2558,24,0.15,0.08,5,0.7,28,13,8453.74,407.5,2754.34
2559,25,0.15,0.08,11,0.6,27,18,8149.85,79,3005.69
2560,26,0.2,0.14,8,0.8,28,18,6987.9,42.5,2413.87
2561,24,0.15,0.08,5,0.7,28,28,8766.53,264.5,2848.98
2562,25,0.15,0.08,11,0.6,27,13,8149.08,78,3005.46
2563,24,0.15,0.08,5,0.7,28,23,8520.33,383.5,2774.33
2564,26,0.05,0.08,8,0.9,28,13,6546.19,56.5,2385.85
2565,26,0.2,0.14,8,0.8,28,28,7532.35,0,2570.83
2566,22,0.2,0.05,2,0.8,27,28,11934.39,661.5,3721.98
2567,22,0.2,0.05,2,0.8,27,23,11573.88,728.5,3602.86
2568,22,0.2,0.05,2,0.8,27,18,11411.89,745,3552.59
2569,22,0.2,0.05,2,0.8,27,13,11410.19,745,3552.03
2570,26,0.05,0.08,2,0.8,27,13,6329.84,104,1945.12
2571,26,0.05,0.08,2,0.8,27,28,6841.95,40,2089.13
2572,26,0.05,0.08,2,0.8,27,18,6331.07,103.5,1945.46
2573,26,0.05,0.08,2,0.8,27,23,6543.21,92.5,2006.92
2574,25,0.2,0.14,14,0.9,27,18,7750.33,29.5,3047.01
2575,25,0.2,0.14,14,0.9,27,13,7748.14,29,3046.33
2576,25,0.2,0.14,14,0.9,27,28,8647.1,0,3314.19
2577,25,0.2,0.14,14,0.9,27,23,8124.03,36.5,3151.35
2578,24,0.2,0.11,14,0.8,27,28,9378.02,177,3571.57
2579,22,0.15,0.05,14,0.8,28,23,11891.69,648,4520.95
2580,25,0.15,0.08,14,0.7,25,23,8422.69,42,3279.14
2581,25,0.15,0.08,14,0.7,25,18,8354.03,52.5,3258.18
2582,22,0.15,0.05,14,0.8,28,18,11718.78,667.5,4467
2583,22,0.15,0.05,14,0.8,28,13,11717.09,668,4466.4
2584,25,0.15,0.08,14,0.7,25,13,8352.98,52,3257.86
2585,25,0.15,0.08,14,0.7,25,28,8675.05,14,3355.54
2586,22,0.15,0.05,14,0.8,28,28,12285.42,587,4654.51
2587,22,0.2,0.05,11,0.7,28,13,11938.81,695,4297.57
2588,22,0.2,0.05,11,0.7,28,18,11940.07,695,4298.01
2589,22,0.2,0.05,11,0.7,28,23,11992.13,673.5,4317.61
2590,22,0.2,0.05,11,0.7,28,28,12254.15,625.5,4405.47
2591,25,0.05,0.05,2,0.8,25,13,8147.24,156,2491.05
2592,25,0.05,0.05,2,0.8,25,28,8607.39,82,2625.06
2593,25,0.05,0.05,2,0.8,25,18,8148.41,155.5,2491.39
2594,25,0.05,0.05,2,0.8,25,23,8282.18,136.5,2530.82
2595,26,0.05,0.08,5,0.8,27,13,6475.43,78.5,2176.04
2596,26,0.05,0.08,5,0.8,27,18,6476.66,78,2176.39
2597,26,0.05,0.08,5,0.8,27,23,6689.74,69.5,2237.96
2598,26,0.05,0.08,5,0.8,27,28,6995.74,21,2323.14
2599,26,0.1,0.08,2,0.7,27,18,6738.7,113.5,2032.89
2600,24,0.15,0.11,2,0.9,27,13,7529.41,445,2288.74
2601,26,0.1,0.08,2,0.7,27,23,6801.2,96.5,2050.17
2602,26,0.1,0.08,2,0.7,27,28,7025.75,55.5,2113.47
2603,24,0.15,0.11,2,0.9,27,18,7531.54,444,2289.38
2604,24,0.15,0.11,2,0.9,27,23,7889.26,453,2403.72
2605,24,0.15,0.11,2,0.9,27,28,8399.59,224.5,2550.42
2606,26,0.1,0.08,2,0.7,27,13,6737.88,114,2032.66
2607,24,0.15,0.11,5,0.9,26,28,8562.9,204,2791.61
2608,24,0.15,0.11,5,0.9,26,18,7686.03,390,2526.68
2609,24,0.15,0.11,5,0.9,26,23,8040.62,394,2639.16
2610,24,0.15,0.11,5,0.9,26,13,7683.9,391.5,2526.03
2611,25,0.1,0.05,14,0.7,25,28,9357.16,35.5,3585.05
2612,25,0.1,0.05,14,0.7,25,18,9063.52,71.5,3497.1
2613,25,0.1,0.05,14,0.7,25,23,9110.74,60,3511.96
2614,24,0.2,0.11,2,0.8,26,23,8347.86,455,2485.42
2615,24,0.2,0.11,2,0.8,26,28,8697.02,269.5,2592.19
2616,24,0.2,0.11,2,0.8,26,13,8152.28,465,2428.6
2617,24,0.2,0.11,2,0.8,26,18,8153.83,465,2429.07
2618,25,0.1,0.05,14,0.7,25,13,9062.55,71.5,3496.82
2619,25,0.15,0.05,11,0.6,25,23,9259.32,81.5,3329.05
2620,25,0.15,0.05,11,0.6,25,28,9425.21,58.5,3377.86
2621,24,0.1,0.11,14,0.9,28,28,8587.54,154.5,3428.45
2622,25,0.15,0.05,11,0.6,25,13,9279.66,95.5,3333.94
2623,25,0.15,0.05,11,0.6,25,18,9280.3,95.5,3334.13
2624,26,0.05,0.08,14,0.7,28,23,7041.28,23,2909.3
2625,26,0.05,0.08,14,0.7,28,18,6974.16,33.5,2889.52
2626,24,0.1,0.11,14,0.9,28,13,7687.29,281.5,3152.7
2627,24,0.1,0.11,14,0.9,28,18,7689.63,281.5,3153.45
2628,24,0.1,0.11,14,0.9,28,23,8090.97,291.5,3270.05
2629,26,0.05,0.08,14,0.7,28,28,7297.66,5,2983.54
2630,25,0.1,0.05,11,0.7,25,18,8899.95,89,3257.9
2631,25,0.1,0.05,11,0.7,25,13,8899.16,89,3257.66
2632,26,0.05,0.08,14,0.7,28,13,6973.2,33.5,2889.24
2633,25,0.1,0.05,8,0.6,26,28,8841.1,74.5,3050.4
2634,23,0.1,0.08,14,0.9,27,23,9422.72,478.5,3722.01
2635,24,0.2,0.11,14,0.8,27,23,8995.17,292.5,3449.58
2636,25,0.1,0.05,8,0.6,26,23,8670.06,100,3001.23
2637,25,0.1,0.05,8,0.6,26,18,8703.12,115,3009.46
2638,24,0.2,0.11,14,0.8,27,18,8801.75,293,3392.81
2639,23,0.1,0.08,14,0.9,27,28,9951.98,376.5,3896.47
2640,24,0.2,0.11,14,0.8,27,13,8800.03,294.5,3392.26
2641,25,0.1,0.05,8,0.6,26,13,8702.52,115,3009.29
2642,25,0.1,0.05,11,0.7,25,28,9187.96,47,3343.18
2643,25,0.1,0.05,11,0.7,25,23,8945.79,76,3271.99
2644,23,0.1,0.08,14,0.9,27,13,9052.2,492,3612.15
2645,23,0.1,0.08,14,0.9,27,18,9054.55,492,3612.94
2646,24,0.15,0.11,11,0.8,28,13,8109.8,321,3037.66
2647,26,0.1,0.08,11,0.6,28,28,7304.21,19,2765.5
2648,25,0.15,0.05,8,0.6,25,13,9127.5,115,3098.53
2649,24,0.15,0.11,11,0.8,28,18,8111.48,321,3038.19
2650,26,0.1,0.08,11,0.6,28,23,7130.23,41.5,2715.61
2651,24,0.15,0.11,11,0.8,28,23,8303.55,316.5,3094.54
2652,25,0.15,0.05,8,0.6,25,18,9128.1,115,3098.7
2653,24,0.15,0.11,11,0.8,28,28,8681.98,191.5,3213.49
2654,25,0.15,0.05,8,0.6,25,23,9104.46,100,3092.45
2655,26,0.05,0.05,2,0.8,27,28,7967.66,56.5,2403.79
2656,26,0.05,0.05,2,0.8,27,23,7653.91,100.5,2315.51
2657,26,0.1,0.08,11,0.6,28,18,7136.73,51,2716.74
2658,26,0.1,0.08,11,0.6,28,13,7136.04,51,2716.55
2659,23,0.15,0.08,11,0.8,27,28,9936.18,419,3653.44
2660,26,0.05,0.05,2,0.8,27,18,7518.99,114,2276.73
2661,26,0.1,0.08,14,0.7,27,13,7334.82,33.5,2965.19
2662,26,0.05,0.05,2,0.8,27,13,7517.96,114,2276.45
2663,26,0.1,0.08,14,0.7,27,23,7404.48,23,2985.58
2664,25,0.15,0.05,8,0.6,25,28,9266.87,74.5,3139.81
2665,23,0.15,0.08,11,0.8,27,13,9371.59,524.5,3473.51
2666,26,0.1,0.08,14,0.7,27,18,7335.78,33.5,2965.47
2667,23,0.15,0.08,11,0.8,27,23,9553.92,510.5,3528.88
2668,26,0.1,0.08,14,0.7,27,28,7651.98,5,3057.96
2669,23,0.15,0.08,11,0.8,27,18,9373.32,524.5,3474.08
2670,24,0.2,0.11,8,0.7,28,23,8557.66,359,2932.16
2671,24,0.2,0.11,8,0.7,28,18,8478.62,381,2908.17
2672,24,0.2,0.11,8,0.7,28,28,8816.15,242.5,3011.89
2673,24,0.2,0.11,8,0.7,28,13,8477.39,382,2907.79
2674,26,0.15,0.08,11,0.6,27,13,7594.61,51,2812.82
2675,26,0.15,0.08,11,0.6,27,18,7595.28,51,2813.02
2676,26,0.05,0.08,11,0.7,28,23,6875.98,36,2670.5
2677,26,0.05,0.08,11,0.7,28,28,7126.51,10,2742.32
2678,26,0.05,0.08,11,0.7,28,13,6809.83,46,2651.31
2679,23,0.2,0.08,8,0.7,27,18,9755.7,569,3344.53
2680,26,0.05,0.08,11,0.7,28,18,6810.78,46,2651.58
2681,23,0.2,0.08,8,0.7,27,13,9754.42,569,3344.11
2682,23,0.2,0.08,8,0.7,27,28,10083.99,470,3449.74
2683,26,0.15,0.08,11,0.6,27,23,7588.15,41.5,2811.72
2684,23,0.2,0.08,8,0.7,27,23,9822.94,545.5,3366.41
2685,26,0.15,0.08,11,0.6,27,28,7759.28,19,2861.04
2686,25,0.05,0.05,11,0.7,27,28,8896.01,47,3281.77
2687,25,0.05,0.05,11,0.7,27,23,8652.52,76,3210.35
2688,25,0.05,0.05,11,0.7,27,18,8607.06,89,3196.31
2689,24,0.15,0.08,2,0.9,28,23,8541.7,424,2587.78
2690,25,0.05,0.05,11,0.7,27,13,8606.28,89,3196.07
2691,24,0.15,0.08,2,0.9,28,18,8180.37,422.5,2482.46
2692,24,0.15,0.08,2,0.9,28,13,8178.4,423,2481.87
2693,26,0.1,0.08,8,0.6,28,28,7145.5,36.5,2528.67
2694,26,0.1,0.08,8,0.6,28,23,6976.81,57,2480.67
2695,26,0.1,0.08,8,0.6,28,18,6984.67,71.5,2482.71
2696,26,0.1,0.08,8,0.6,28,13,6984.02,70.5,2482.53
2697,24,0.15,0.08,2,0.9,28,28,9024.34,216,2735.94
2698,25,0.1,0.05,8,0.6,27,28,8841.1,74.5,3050.4
2699,25,0.1,0.05,8,0.6,27,23,8670.06,100,3001.23
2700,24,0.15,0.08,8,0.7,27,28,8930.37,232.5,3090.37
2701,25,0.1,0.05,8,0.6,27,18,8703.12,115,3009.46
2702,23,0.15,0.05,2,0.9,25,13,10137.33,602,3122
2703,26,0.05,0.11,11,0.9,28,23,6532.28,19.5,2575.12
2704,23,0.15,0.05,2,0.9,25,18,10139.26,601.5,3122.61
2705,25,0.1,0.05,8,0.6,27,13,8702.52,115,3009.29
