#,P1,P2,P3,P4,P5,P6,v1,v2,v3
83,25,0.2,0.14,2,0.7,18,8018.98,197.5,2291.33
84,26,0.1,0.05,8,0.6,28,8607.49,52,2914.23
85,26,0.1,0.05,8,0.6,13,8447.67,83,2870.62
86,26,0.1,0.05,8,0.6,18,8448.24,83,2870.78
87,25,0.2,0.14,2,0.7,28,8409.88,62.5,2399.45
88,25,0.1,0.14,8,0.9,13,6907.66,69.5,2455.28
89,26,0.05,0.05,11,0.7,13,8173.86,59,3017.69
90,25,0.1,0.14,8,0.9,18,6910.14,68.5,2455.99
91,26,0.05,0.05,11,0.7,18,8174.71,60,3017.93
92,25,0.1,0.08,11,0.6,28,8335.03,40.5,3060.8
93,26,0.05,0.05,11,0.7,23,8226.57,51.5,3032.66
94,25,0.1,0.14,8,0.9,23,7292.81,84.5,2573.12
95,25,0.1,0.14,8,0.9,28,7823.04,1,2726.1
96,26,0.05,0.05,11,0.7,28,8470.13,27.5,3101.48
97,25,0.1,0.08,11,0.6,18,8130.97,79,3001.85
98,25,0.1,0.08,11,0.6,23,8141.61,65.5,3004.89
99,25,0.1,0.08,11,0.6,13,8130.08,78,3001.6
100,24,0.1,0.11,14,0.6,28,8535.03,229,3355.2
101,24,0.1,0.11,14,0.6,23,8321.02,306.5,3290.51
102,25,0.05,0.08,14,0.7,18,7800.37,52,3141.98
103,25,0.05,0.08,14,0.7,13,7799.25,51.5,3141.65
104,25,0.05,0.08,14,0.7,28,8148.85,14,3245.06
105,25,0.05,0.08,14,0.7,23,7871.83,42,3163.53
106,24,0.1,0.11,14,0.6,18,8292.47,327,3280.61
107,24,0.1,0.11,14,0.6,13,8291.32,328,3280.26
108,23,0.2,0.11,2,0.8,13,9748.66,640.5,2861.68
109,23,0.2,0.11,2,0.8,23,9939.8,619,2919.09
110,23,0.2,0.11,2,0.8,18,9750.94,640,2862.34
111,23,0.2,0.11,2,0.8,28,10388.32,502.5,3053
112,22,0.2,0.14,5,0.8,18,10247.84,747.5,3252.21
113,23,0.15,0.05,8,0.6,13,11288.45,568,3782.27
114,22,0.2,0.14,5,0.8,13,10245.1,747.5,3251.37
115,23,0.15,0.05,8,0.6,18,11289.41,568,3782.57
116,23,0.15,0.05,8,0.6,23,11278.48,545,3780.51
117,23,0.15,0.05,8,0.6,28,11474.99,493.5,3839.43
118,22,0.15,0.11,2,0.6,28,9845.47,726.5,3023.68
119,22,0.2,0.14,5,0.8,28,10938.68,646,3469.14
120,22,0.2,0.14,5,0.8,23,10442.02,731,3312.75
121,22,0.15,0.11,2,0.6,13,9597.98,774,2947.8
122,22,0.15,0.11,2,0.6,18,9599.48,774,2948.27
123,22,0.15,0.11,2,0.6,23,9628.57,764,2956.84
124,22,0.15,0.08,11,0.6,13,10958.15,714,3945.34
125,22,0.15,0.08,11,0.6,18,10959.52,714,3945.79
126,22,0.15,0.08,11,0.6,23,10977.53,696,3954.59
127,22,0.15,0.08,11,0.6,28,11204.32,653,4026.41
128,22,0.1,0.08,14,0.7,23,10616.88,671,4108.35
129,22,0.1,0.08,14,0.7,28,10934.48,613,4212.62
130,22,0.1,0.08,14,0.7,13,10535.48,688.5,4079.43
131,22,0.1,0.08,14,0.7,18,10537.13,688.5,4080
132,23,0.1,0.05,2,0.8,13,10355.9,610,3176.29
133,23,0.1,0.05,2,0.8,18,10357.51,610,3176.78
134,23,0.1,0.05,2,0.8,23,10527.04,587.5,3226.89
135,23,0.1,0.05,2,0.8,28,10908.63,496,3343.05
136,23,0.05,0.05,5,0.9,13,9848.26,570.5,3267.92
137,23,0.05,0.05,5,0.9,18,9850.3,570.5,3268.56
138,23,0.05,0.05,5,0.9,23,10166.85,552.5,3362.7
139,23,0.05,0.05,5,0.9,28,10694.55,442,3528.48
140,22,0.1,0.08,5,0.8,13,9918.29,741.5,3307.37
141,26,0.2,0.14,14,0.8,28,8778.24,0,3245.26
142,22,0.1,0.08,5,0.8,18,9920.36,741.5,3308.04
143,22,0.1,0.08,5,0.8,23,10108.96,721.5,3365.96
144,22,0.1,0.08,5,0.8,28,10542.35,646,3505.34
145,22,0.05,0.08,8,0.9,13,9344.19,710,3390.59
146,22,0.05,0.08,8,0.9,23,9756.05,698,3513.41
147,22,0.05,0.08,8,0.9,18,9346.75,710,3391.47
148,22,0.05,0.08,8,0.9,28,10285.37,603,3694.26
149,26,0.15,0.14,2,0.6,18,6739.82,117,1958.1
150,26,0.15,0.14,2,0.6,13,6738.88,116.5,1957.85
151,26,0.1,0.14,5,0.7,28,6669.76,15.5,2170.82
152,26,0.1,0.14,5,0.7,23,6399.5,61.5,2101.32
153,26,0.1,0.14,5,0.7,18,6313.78,71,2071.91
154,26,0.1,0.14,5,0.7,13,6312.56,71,2071.57
155,26,0.2,0.14,14,0.8,18,8147.05,9,3066.21
156,26,0.15,0.14,2,0.6,28,6951.05,56,2014.15
157,26,0.2,0.14,14,0.8,23,8339.47,6,3120.62
158,26,0.15,0.14,2,0.6,23,6760.9,95.5,1962.49
159,26,0.2,0.14,14,0.8,13,8145.12,9,3065.67
160,26,0.05,0.14,8,0.8,13,5828.32,42.5,2170.36
161,26,0.05,0.14,8,0.8,18,5829.87,42.5,2170.8
