Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],p_ratio [-],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],Vdisp [m^3],Vratio [-],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],P_MLexper [kW],|||Flow|||,A_sa_suct [m^2],Cd_inlet [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW],
11,||||||,0.087770453584,0.087775000000,-0.005179625668,2.479643929260,2.518035000000,-1.524644047460,323.637855576259,324.228820000000,-0.590964423741,0.643656730803,0.966055304109,|||||,N2,Zerol,308.574090000000,225.422020000000,737.333800000000,0.836772788000,366.519100000000,297.168020000000,3.270904058086,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29830995,0.02885582,0.01418881,0.00000000,-0.03837062,335.53863684,0.00100000,||||||,2.479643929260,2.128773464928,0.380000000000,0.858499657878,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.38926154,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00001705,0.00000988,1454,2.01050000,|||||,1.62582633,0.07834089,0.07495826,0.09752546,0.18711800,0.38000000,
12,||||||,0.041131676808,0.040854000000,0.679680834551,2.431619494715,2.414388000000,0.713700313089,337.035531017079,337.529670000000,-0.494138982921,0.671302745356,0.979756385835,|||||,N2,Zerol,301.762540000000,223.421980000000,735.042240000000,0.638890803000,366.519100000000,297.282980000000,3.289928054527,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29208776,0.03232566,0.00695510,0.00000000,-0.04847477,345.75774801,0.00100000,||||||,2.431619494715,2.084101266956,0.380000000000,0.857083631500,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.33028673,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000582,0.00000404,2504,2.39966667,|||||,1.66731269,0.06910061,0.06803580,0.05035551,0.15363418,0.38000000,
13,||||||,0.164215496994,0.163910000000,0.186380937312,4.016750163913,4.054529000000,-0.931768797000,336.715748657171,337.263090000000,-0.547341342829,0.658446855707,0.944404373120,|||||,N2,Zerol,324.266050000000,441.413290000000,1218.475000000000,0.843293316000,366.519100000000,302.822720000000,2.760394912441,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29901476,0.03207616,0.01016553,0.00000000,-0.03870343,341.52614583,0.00100000,||||||,4.016750163913,3.668862966206,0.380000000000,0.913390879813,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.38566603,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00000218,0.00000905,1593,2.47066667,|||||,2.67771849,0.18332878,0.18817506,0.19023401,0.34123179,0.38000000,
14,||||||,0.099314846361,0.099533000000,-0.219177196339,3.763042615831,3.793786000000,-0.810361579939,337.895754492744,338.377640000000,-0.481885507256,0.687705630779,0.957778441006,|||||,N2,Zerol,317.011430000000,421.780860000000,1177.350700000000,0.739596534000,366.519100000000,300.845170000000,2.791380101980,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29868134,0.03469749,0.00575197,0.00000000,-0.04075728,341.60245403,0.00100000,||||||,3.763042615831,3.417850193653,0.380000000000,0.908267735070,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.37593581,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00000133,0.00000668,2227,2.19816667,|||||,2.62417104,0.16002512,0.16575054,0.11788045,0.26146627,0.38000000,
15,||||||,0.064341520710,0.063970000000,0.580773346240,3.687152946600,3.764522000000,-2.055215865399,343.823211350373,343.763700000000,0.059511350373,0.700043923558,0.960455439817,|||||,N2,Zerol,309.058880000000,409.608820000000,1160.755100000000,0.595789790000,366.519100000000,298.453330000000,2.833813734773,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29646940,0.03849293,-0.00009426,0.00000000,-0.04529169,343.74502264,0.00100000,||||||,3.687152946600,3.345486144000,0.380000000000,0.907335874712,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.41903586,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00000505,0.00000346,2984,2.04200000,|||||,2.62277731,0.14935933,0.15630780,0.08171896,0.22818832,0.38000000,
16,||||||,0.166904395373,0.168033000000,-0.671656536031,4.660612624981,4.695099000000,-0.734518590966,340.455695136471,340.580100000000,-0.124404863529,0.666470125956,0.939025352885,|||||,N2,Zerol,326.093100000000,531.101000000000,1435.988900000000,0.816537303000,366.519100000000,305.742600000000,2.703796264741,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.30043644,0.03472417,0.00687315,0.00000000,-0.03775129,343.49389403,0.00100000,||||||,4.660612624981,4.315548604378,0.380000000000,0.925961660329,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.37955040,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000345,0.00000435,1892,1.88050000,|||||,3.14192162,0.23955292,0.25099051,0.19589577,0.37569100,0.38000000,
17,||||||,0.104838205380,0.105739000000,-0.851903858046,4.448350296475,4.477680000000,-0.655020089076,346.256826312562,346.564340000000,-0.307513687438,0.694106374247,0.947300971927,|||||,N2,Zerol,322.488950000000,544.101570000000,1417.254000000000,0.690616923000,366.519100000000,305.073760000000,2.604759989941,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29804313,0.03861827,0.00135885,0.00000000,-0.04197294,347.04670028,0.00100000,||||||,4.448350296475,4.106974708255,0.380000000000,0.923257934859,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.37070529,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000354,0.00000346,2695,2.13233333,|||||,3.12826836,0.20823457,0.22326163,0.12767987,0.31119997,0.38000000,
18,||||||,0.069755675332,0.070267000000,-0.727688200259,4.262385143846,4.224753000000,0.890753704317,352.593011409940,352.252540000000,0.340471409940,0.704871098813,0.949925938769,|||||,N2,Zerol,314.798230000000,512.390650000000,1361.216000000000,0.547183455000,366.519100000000,304.352900000000,2.656598046822,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29678341,0.04268747,-0.00429666,0.00000000,-0.04502889,349.38178507,0.00100000,||||||,4.262385143846,3.924872088965,0.380000000000,0.920815917968,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.29988091,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00000393,0.00000534,3465,2.62950000,|||||,3.05083033,0.18631397,0.20087961,0.09088263,0.26828896,0.38000000,
19,||||||,0.160352199193,0.157230000000,1.985752842004,3.062013657398,3.057306000000,0.153980576311,332.043010370743,332.583940000000,-0.540929629257,0.622000050824,0.937440988925,|||||,N2,Zerol,322.623770000000,277.502370000000,895.668360000000,0.899482459000,366.519100000000,295.946500000000,3.227606164228,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29206440,0.02783859,0.01546540,0.00000000,-0.04460932,340.55582125,0.00100000,||||||,3.062013657398,2.709873022629,0.380000000000,0.884997039802,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.34743298,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00003504,0.00000090,1085,1.39983333,|||||,1.93292379,0.11941243,0.11341728,0.17910973,0.27981170,0.38000000,
20,||||||,0.092712427164,0.090883000000,2.012947596155,2.936035984485,2.908413000000,0.949761415758,336.636207366797,337.167140000000,-0.530932633203,0.665637258558,0.966429253646,|||||,N2,Zerol,320.031300000000,284.497540000000,893.647650000000,0.811973767000,366.519100000000,296.458610000000,3.141143680891,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29067177,0.02979142,0.01096815,0.00000000,-0.04841710,344.87571010,0.00100000,||||||,2.936035984485,2.585976770145,0.380000000000,0.880771483664,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.32243623,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000334,0.00000178,1672,1.80416667,|||||,1.98518455,0.10276469,0.10064256,0.10506659,0.21142150,0.38000000,
