Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w
595.972,0,1.757039,Platnium ,41.6,2560711.963,186163692,0.013755163
588.0911,0,1.559871,Platnium ,41.6,2577550.691,186163692,0.013845614
575.8319,0,1.273095,Platnium ,41.6,2603990.617,186163692,0.01398764
563.5727,0,1.062553,Platnium ,41.6,2625208.566,186163692,0.014101614
551.3135,0,0.766808,Platnium ,41.6,2658379.869,186163692,0.014279798
529.4221,0,0.57886,Platnium ,41.6,2682080.238,186163692,0.014407107
521.5412,0,0.484831,Platnium ,41.6,2694853.046,186163692,0.014475718
509.282,0,0.377428,Platnium ,41.6,2710200.839,186163692,0.01455816
499.6497,0,0.292399,Platnium ,41.6,2722752.988,186163692,0.014625585
504.9037,0,0.189165,Platnium ,41.6,2737368.374,186163692,0.014704094
481.2609,0,0.099903,Platnium ,41.6,2744224.916,186163692,0.014740924
478.634,0,0.050623,Platnium ,41.6,2733534.976,186163692,0.014683502
469.8774,0,0.010421,Platnium ,41.6,2643575.365,186163692,0.014200274
332.6507,0,1.951754,Platnium ,41.6,2544975.845,186163692,0.013670635
314.8312,0,1.557018,Platnium ,41.6,2577801.728,186163692,0.013846963
290.459,0,1.065789,Platnium ,41.6,2624868.93,186163692,0.01409979
256.0195,0,0.583333,Platnium ,41.6,2681488.473,186163692,0.014403928
274.8377,0,0.785088,Platnium ,41.6,2656194.192,186163692,0.014268057
227.0642,0,0.302632,Platnium ,41.6,2721237.844,186163692,0.014617447
310.7128,0,1.950083639,Platnium ,16.67,2545107.412,186163692,0.013671342
308.0858,0,1.851476051,Platnium ,16.67,2552976.958,186163692,0.013713614
299.3292,0,1.752978411,Platnium ,16.67,2561049.114,186163692,0.013756974
300.2049,0,1.658792301,Platnium ,16.67,2568980.161,186163692,0.013799577
294.0753,0,1.56024754,Platnium ,16.67,2577517.575,186163692,0.013845436
294.0753,0,1.457108526,Platnium ,16.67,2586736.863,186163692,0.013894959
287.9457,0,1.372016681,Platnium ,16.67,2594579.875,186163692,0.013937089
285.3187,0,1.277893398,Platnium ,16.67,2603526.454,186163692,0.013985146
286.1944,0,1.161285763,Platnium ,16.67,2615043.127,186163692,0.014047009
279.1891,0,1.067241014,Platnium ,16.67,2624716.68,186163692,0.014098972
265.1786,0,0.968837615,Platnium ,16.67,2635247.605,186163692,0.01415554
260.8004,0,0.865777136,Platnium ,16.67,2646774.968,186163692,0.014217461
250.2925,0,0.780763824,Platnium ,16.67,2656709.438,186163692,0.014270825
245.0385,0,0.677719052,Platnium ,16.67,2669324.889,186163692,0.01433859
241.5359,0,0.574642866,Platnium ,16.67,2682639.456,186163692,0.014410111
231.9037,0,0.476160932,Platnium ,16.67,2696062.936,186163692,0.014482217
227.5254,0,0.386553368,Platnium ,16.67,2708868.81,186163692,0.014551005
219.6445,0,0.189385313,Platnium ,16.67,2737340.332,186163692,0.014703943
217.8932,0,0.090762018,Platnium ,16.67,2743818.465,186163692,0.014738741
211.7636,0,0.001185867,Platnium ,16.67,2428162.849,186163692,0.01304316
217.0868,0,0.092105,Platnium ,16.67,2743904.53,186163692,0.014739203
220.8399,0,0.20614,Platnium ,16.67,2735141.777,186163692,0.014692133
224.2736,0,0.311404,Platnium ,16.67,2719937.992,186163692,0.014610464
227.0794,0,0.399123,Platnium ,16.67,2707041.558,186163692,0.01454119
228.9171,0,0.504386,Platnium ,16.67,2692144.05,186163692,0.014461166
239.5313,0,0.587719,Platnium ,16.67,2680909.594,186163692,0.014400819
243.073,0,0.692982,Platnium ,16.67,2667414.12,186163692,0.014328326
247.6348,0,0.79386,Platnium ,16.67,2655152.323,186163692,0.014262461
257.7042,0,0.868421,Platnium ,16.67,2646472.41,186163692,0.014215835
264.5684,0,0.969298,Platnium ,16.67,2635197.295,186163692,0.01415527
278.2845,0,1.070175,Platnium ,16.67,2624409.316,186163692,0.014097321
284.8111,0,1.179825,Platnium ,16.67,2613178.069,186163692,0.014036991
284.2614,0,1.280702,Platnium ,16.67,2603255.143,186163692,0.013983689
285.5439,0,1.368421,Platnium ,16.67,2594916.279,186163692,0.013938896
293.402,0,1.460526,Platnium ,16.67,2586426.473,186163692,0.013893292
299.0983,0,1.557018,Platnium ,16.67,2577801.728,186163692,0.013846963
300.64,0,1.662281,Platnium ,16.67,2568682.51,186163692,0.013797978
302.9579,0,1.763158,Platnium ,16.67,2560204.629,186163692,0.013752438
306.8998,0,1.868421,Platnium ,16.67,2551609.986,186163692,0.013706271
310.1795,0,1.964912,Platnium ,16.67,2543941.423,186163692,0.013665078
206.8841,0,0.095555,Platnium ,16.67,2744082.233,186163692,0.014740158
210.9464,0,0.192338,Platnium ,16.67,2736962.111,186163692,0.014701911
212.9904,0,0.293473,Platnium ,16.67,2722594.072,186163692,0.014624732
216.2789,0,0.398747,Platnium ,16.67,2707096.084,186163692,0.014541483
219.5896,0,0.491364,Platnium ,16.67,2693944.946,186163692,0.01447084
228.81,0,0.592051,Platnium ,16.67,2680339.177,186163692,0.014397755
233.0579,0,0.680395,Platnium ,16.67,2668988.79,186163692,0.014336785
236.9118,0,0.777205,Platnium ,16.67,2657134.314,186163692,0.014273107
247.7718,0,0.886251,Platnium ,16.67,2644441.677,186163692,0.014204927
255.7339,0,0.974385,Platnium ,16.67,2634642.062,186163692,0.014152287
269.2755,0,1.079081,Platnium ,16.67,2623478.584,186163692,0.014092321
278.0306,0,1.175627,Platnium ,16.67,2613599.225,186163692,0.014039253
277.5663,0,1.2727,Platnium ,16.67,2604028.863,186163692,0.013987845
277.5663,0,1.365527,Platnium ,16.67,2595187.337,186163692,0.013940352
285.513,0,1.470565,Platnium ,16.67,2585516.684,186163692,0.013888405
291.1913,0,1.558857,Platnium ,16.67,2577639.888,186163692,0.013846094
291.6671,0,1.672755,Platnium ,16.67,2567790.715,186163692,0.013793188
291.6671,0,1.757143,Platnium ,16.67,2560703.333,186163692,0.013755117
300.3003,0,1.870593,Platnium ,16.67,2551435.216,186163692,0.013705332
300.7838,0,1.963394,Platnium ,16.67,2544060.583,186163692,0.013665718
264,0,0.1,brass ,4.67,2744237.67,235905059.8,0.011632805
595,30,0.1,brass ,4.67,2736911.847,235905059.8,0.011601751
348.5817774,0,0.105597785,Zirconium,6.35,2744290.164,23000000,0.119316964
360.0601979,0,0.109019175,Zirconium,6.35,2744265.492,23000000,0.119315891
362.6109581,0,0.115861956,Zirconium,6.35,2744104.31,23000000,0.119308883
365.7994082,0,0.119283346,Zirconium,6.35,2743974.174,23000000,0.119303225
387.4808693,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424
390.6693195,0,0.105597785,Zirconium,6.35,2744290.164,23000000,0.119316964
397.0462198,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424
421.916131,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424
418.7276808,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424
413.6261606,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424
420.0030609,0,0.150075857,Zirconium,6.35,2741804.944,23000000,0.119208911
417.4523008,0,0.150075857,Zirconium,6.35,2741804.944,23000000,0.119208911
411.7130905,0,0.150075857,Zirconium,6.35,2741804.944,23000000,0.119208911
469.1051933,0,0.197975319,Zirconium,6.35,2736228.411,23000000,0.118966453
474.2067136,0,0.201396709,Zirconium,6.35,2735776.296,23000000,0.118946795
477.3951638,0,0.201396709,Zirconium,6.35,2735776.296,23000000,0.118946795
480.5836139,0,0.201396709,Zirconium,6.35,2735776.296,23000000,0.118946795
459.5398429,0,0.273245902,Zirconium,6.35,2725579.555,23000000,0.118503459
463.3659831,0,0.269824512,Zirconium,6.35,2726082.378,23000000,0.118525321
469.7428834,0,0.273245902,Zirconium,6.35,2725579.555,23000000,0.118503459
478.6705438,0,0.273245902,Zirconium,6.35,2725579.555,23000000,0.118503459
506.7289052,0,0.249296171,Zirconium,6.35,2729077.426,23000000,0.11865554
512.4681155,0,0.249296171,Zirconium,6.35,2729077.426,23000000,0.11865554
516.2942557,0,0.252717561,Zirconium,6.35,2728581.428,23000000,0.118633975
536.0626467,0,0.245874781,Zirconium,6.35,2729571.853,23000000,0.118677037
604.4903298,0,0.54581665,Zirconium,6.35,2686496.057,23000000,0.116804176
596.5192044,0,0.548192615,Zirconium,6.35,2686175.923,23000000,0.116790258
592.5336417,0,0.543440685,Zirconium,6.35,2686816.599,23000000,0.116818113
379.0846172,0,0.101511125,316 SS,6.68,2744256.754,5.10E+07,0.053808956
483.594928,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923
470.309719,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923
464.5527951,0,0.251196943,316 SS,6.68,2728802.057,5.10E+07,0.053505923
489.7946922,0,0.253572909,316 SS,6.68,2728457.2,5.10E+07,0.053499161
534.9644027,0,0.500673308,316 SS,6.68,2692656.252,5.10E+07,0.052797181
528.3217982,0,0.503049273,316 SS,6.68,2692328.349,5.10E+07,0.052790752
520.3506728,0,0.500673308,316 SS,6.68,2692656.252,5.10E+07,0.052797181
595.1906835,0,1.004377967,316 SS,6.68,2631393.203,5.10E+07,0.051595945
612.0186149,0,1.006753933,316 SS,6.68,2631137.624,5.10E+07,0.051590934
606.261691,0,1.002002002,316 SS,6.68,2631649.041,5.10E+07,0.051600962
632.832109,0,1.505706662,316 SS,6.68,2582355.103,5.10E+07,0.050634414
624.4181433,0,1.505706662,316 SS,6.68,2582355.103,5.10E+07,0.050634414
633.7177896,0,2.002283425,316 SS,6.68,2541022.323,5.10E+07,0.049823967
627.0751851,0,2.007035356,316 SS,6.68,2540653.123,5.10E+07,0.049816728
666.9421488,0,3.003378378,1018 carbon steel,6.68,2471289.8,1.62E+08,0.015254875
667.5853432,0,2.509329,1018 carbon steel,6.68,2503871.8,1.62E+08,0.015455999
668.2604271,0,2.491218905,1018 carbon steel,6.68,2505127.937,1.62E+08,0.015463753
665.8976334,0,2.507517991,1018 carbon steel,6.68,2503997.2,1.62E+08,0.015456773
667.9228851,0,2.000435336,1018 carbon steel,6.68,2541166.03,1.62E+08,0.01568621
665.8976334,0,2.000435336,1018 carbon steel,6.68,2541166.03,1.62E+08,0.01568621
664.2099237,0,2.009490384,1018 carbon steel,6.68,2540462.553,1.62E+08,0.015681868
651.7208716,0,2.007679374,1018 carbon steel,6.68,2540603.12,1.62E+08,0.015682735
653.4085814,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285
654.0836653,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285
596.7015341,0,1.511462777,1018 carbon steel,6.68,2581840.627,1.62E+08,0.015937288
565.9852168,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285
524.4675572,0,1.502407729,1018 carbon steel,6.68,2582650.384,1.62E+08,0.015942286
666.9133847,0,1.064017671,1018 carbon steel,6.68,2625054.784,1.62E+08,0.016204042
661.8346285,0,1.053537292,1018 carbon steel,6.68,2626157.21,1.62E+08,0.016210847
662.6159756,0,1.05458533,1018 carbon steel,6.68,2626046.752,1.62E+08,0.016210165
656.7558723,0,1.010567738,1018 carbon steel,6.68,2630727.922,1.62E+08,0.016239061
655.7791885,0,1.007423624,1018 carbon steel,6.68,2631065.634,1.62E+08,0.016241146
654.9978414,0,1.005327549,1018 carbon steel,6.68,2631291.027,1.62E+08,0.016242537
599.2330987,0,0.541969035,1018 carbon steel,6.68,2687015.344,1.62E+08,0.016586514
595.5763943,0,0.54347821,1018 carbon steel,6.68,2686811.533,1.62E+08,0.016585256
590.5132651,0,0.54347821,1018 carbon steel,6.68,2686811.533,1.62E+08,0.016585256
589.1068403,0,0.544987384,1018 carbon steel,6.68,2686607.887,1.62E+08,0.016583999
585.7314208,0,0.541969035,1018 carbon steel,6.68,2687015.344,1.62E+08,0.016586514
585.4501358,0,0.499712147,1018 carbon steel,6.68,2692789.016,1.62E+08,0.016622154
569.6981783,0,0.499712147,1018 carbon steel,6.68,2692789.016,1.62E+08,0.016622154
563.7911942,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014
